"indicator","County","Year","subgroup1","subgroup_cat1","subgroup2","subgroup_cat2","aaRate10K","aaRate10Kpy","count","cRate10K","cRate10Kpy","dailyMean"
"Hospitalizations","Lewis","2000-2002","Total",,"Total",,30.90,10.301,83,30.91,10.303,0.076
"Hospitalizations","Lewis","2000-2019","Total",,"Total",,139.64,6.982,395,147.10,7.355,0.054
"Hospitalizations","Lewis","2001-2003","Total",,"Total",,36.01,12.002,96,35.88,11.961,0.088
"Hospitalizations","Lewis","2002-2004","Total",,"Total",,31.88,10.627,85,31.89,10.629,0.078
"Hospitalizations","Lewis","2003-2005","Total",,"Total",,30.54,10.181,83,31.08,10.359,0.076
"Hospitalizations","Lewis","2004-2006","Total",,"Total",,24.02,8.005,67,24.99,8.330,0.061
"Hospitalizations","Lewis","2005-2007","Total",,"Total",,19.00,6.333,55,20.41,6.802,0.050
"Hospitalizations","Lewis","2006-2008","Total",,"Total",,21.47,7.158,61,22.60,7.534,0.056
"Hospitalizations","Lewis","2007-2009","Total",,"Total",,19.91,6.638,57,21.11,7.036,0.052
"Hospitalizations","Lewis","2008-2010","Total",,"Total",,22.20,7.401,63,23.33,7.778,0.057
"Hospitalizations","Lewis","2009-2011","Total",,"Total",,19.59,6.531,58,21.44,7.147,0.053
"Hospitalizations","Lewis","2010-2012","Total",,"Total",,23.70,7.901,69,25.46,8.487,0.063
"Hospitalizations","Lewis","2011-2013","Total",,"Total",,21.25,7.082,64,23.61,7.870,0.058
"Hospitalizations","Lewis","2012-2014","Total",,"Total",,21.04,7.013,63,23.22,7.741,0.057
"Hospitalizations","Lewis","2013-2015","Total",,"Total",,15.17,5.058,48,17.77,5.925,0.044
"Hospitalizations","Lewis","2014-2016","Total",,"Total",,13.34,4.445,40,14.90,4.965,0.036
"Hospitalizations","Lewis","2015-2017","Total",,"Total",,9.91,3.304,28,10.49,3.497,0.026
"Hospitalizations","Lewis","2016-2018","Total",,"Total",,10.90,3.635,26,9.78,3.261,0.024
"Hospitalizations","Lewis","2017-2019","Total",,"Total",,9.83,3.278,25,9.45,3.149,0.023
"Hospitalizations","Livingston","2000-2002","Total",,"Total",,31.35,10.451,187,28.78,9.594,0.171
"Hospitalizations","Livingston","2000-2019","Total",,"Total",,133.26,6.663,818,126.35,6.318,0.112
"Hospitalizations","Livingston","2001-2003","Total",,"Total",,31.26,10.420,186,28.57,9.522,0.170
"Hospitalizations","Livingston","2002-2004","Total",,"Total",,27.26,9.088,167,25.60,8.532,0.152
"Hospitalizations","Livingston","2003-2005","Total",,"Total",,23.67,7.891,149,22.81,7.605,0.136
"Hospitalizations","Livingston","2004-2006","Total",,"Total",,22.63,7.543,144,22.02,7.341,0.131
"Hospitalizations","Livingston","2005-2007","Total",,"Total",,24.54,8.181,153,23.40,7.801,0.140
"Hospitalizations","Livingston","2006-2008","Total",,"Total",,22.75,7.582,142,21.68,7.228,0.130
"Hospitalizations","Livingston","2007-2009","Total",,"Total",,24.38,8.125,152,23.20,7.735,0.139
"Hospitalizations","Livingston","2008-2010","Total",,"Total",,22.78,7.594,143,21.85,7.285,0.130
"Hospitalizations","Livingston","2009-2011","Total",,"Total",,23.86,7.955,146,22.40,7.468,0.133
"Hospitalizations","Livingston","2010-2012","Total",,"Total",,20.37,6.791,126,19.40,6.465,0.115
"Hospitalizations","Livingston","2011-2013","Total",,"Total",,18.96,6.318,117,18.07,6.022,0.107
"Hospitalizations","Livingston","2012-2014","Total",,"Total",,16.05,5.349,102,15.77,5.258,0.093
"Hospitalizations","Livingston","2013-2015","Total",,"Total",,13.15,4.383,83,12.86,4.288,0.076
"Hospitalizations","Livingston","2014-2016","Total",,"Total",,11.62,3.875,71,11.04,3.680,0.065
"Hospitalizations","Livingston","2015-2017","Total",,"Total",,11.80,3.935,64,10.01,3.336,0.058
"Hospitalizations","Livingston","2016-2018","Total",,"Total",,11.42,3.806,59,9.28,3.094,0.054
"Hospitalizations","Livingston","2017-2019","Total",,"Total",,8.72,2.908,47,7.44,2.479,0.043
"Hospitalizations","Madison","2000-2002","Total",,"Total",,37.37,12.458,251,35.93,11.977,0.229
"Hospitalizations","Madison","2000-2019","Total",,"Total",,166.52,8.326,1155,161.10,8.055,0.158
"Hospitalizations","Madison","2001-2003","Total",,"Total",,36.09,12.031,249,35.38,11.794,0.227
"Hospitalizations","Madison","2002-2004","Total",,"Total",,36.54,12.180,252,35.55,11.849,0.230
"Hospitalizations","Madison","2003-2005","Total",,"Total",,32.97,10.992,230,32.26,10.754,0.210
"Hospitalizations","Madison","2004-2006","Total",,"Total",,29.47,9.824,206,28.76,9.585,0.188
"Hospitalizations","Madison","2005-2007","Total",,"Total",,26.79,8.931,189,26.22,8.741,0.173
"Hospitalizations","Madison","2006-2008","Total",,"Total",,27.39,9.130,194,26.72,8.906,0.177
"Hospitalizations","Madison","2007-2009","Total",,"Total",,26.83,8.945,190,26.03,8.678,0.173
"Hospitalizations","Madison","2008-2010","Total",,"Total",,27.82,9.273,198,27.04,9.013,0.181
"Hospitalizations","Madison","2009-2011","Total",,"Total",,28.07,9.357,197,26.93,8.975,0.180
"Hospitalizations","Madison","2010-2012","Total",,"Total",,28.55,9.518,200,27.43,9.143,0.182
"Hospitalizations","Madison","2011-2013","Total",,"Total",,27.91,9.305,192,26.45,8.817,0.175
"Hospitalizations","Madison","2012-2014","Total",,"Total",,26.41,8.804,178,24.60,8.200,0.162
"Hospitalizations","Madison","2013-2015","Total",,"Total",,21.91,7.302,148,20.53,6.842,0.135
"Hospitalizations","Madison","2014-2016","Total",,"Total",,16.71,5.569,110,15.33,5.111,0.100
"Hospitalizations","Madison","2015-2017","Total",,"Total",,10.59,3.530,70,9.81,3.272,0.064
"Hospitalizations","Madison","2016-2018","Total",,"Total",,8.41,2.803,49,6.89,2.296,0.045
"Hospitalizations","Madison","2017-2019","Total",,"Total",,8.15,2.717,47,6.62,2.207,0.043
"Hospitalizations","Monroe","2000-2002","Total",,"Total",,32.77,10.925,2428,32.81,10.936,2.215
"Hospitalizations","Monroe","2000-2019","Total",,"Total",,203.40,10.170,15137,203.80,10.190,2.072
"Hospitalizations","Monroe","2001-2003","Total",,"Total",,33.95,11.317,2518,33.98,11.327,2.300
"Hospitalizations","Monroe","2002-2004","Total",,"Total",,33.62,11.207,2502,33.75,11.249,2.283
"Hospitalizations","Monroe","2003-2005","Total",,"Total",,33.52,11.172,2496,33.71,11.237,2.277
"Hospitalizations","Monroe","2004-2006","Total",,"Total",,32.74,10.913,2437,32.96,10.988,2.224
"Hospitalizations","Monroe","2005-2007","Total",,"Total",,32.95,10.984,2450,33.17,11.056,2.237
"Hospitalizations","Monroe","2006-2008","Total",,"Total",,33.15,11.050,2476,33.48,11.160,2.259
"Hospitalizations","Monroe","2007-2009","Total",,"Total",,34.40,11.468,2579,34.79,11.598,2.353
"Hospitalizations","Monroe","2008-2010","Total",,"Total",,34.66,11.554,2602,35.02,11.673,2.374
"Hospitalizations","Monroe","2009-2011","Total",,"Total",,33.94,11.313,2552,34.26,11.420,2.331
"Hospitalizations","Monroe","2010-2012","Total",,"Total",,32.67,10.890,2468,33.07,11.024,2.252
"Hospitalizations","Monroe","2011-2013","Total",,"Total",,31.55,10.518,2376,31.79,10.596,2.168
"Hospitalizations","Monroe","2012-2014","Total",,"Total",,30.85,10.284,2325,31.10,10.366,2.121
"Hospitalizations","Monroe","2013-2015","Total",,"Total",,28.93,9.644,2185,29.25,9.749,1.995
"Hospitalizations","Monroe","2014-2016","Total",,"Total",,26.45,8.817,1968,26.40,8.799,1.796
"Hospitalizations","Monroe","2015-2017","Total",,"Total",,25.22,8.407,1808,24.30,8.100,1.650
"Hospitalizations","Monroe","2016-2018","Total",,"Total",,24.19,8.063,1680,22.61,7.536,1.533
"Hospitalizations","Monroe","2017-2019","Total",,"Total",,23.65,7.883,1650,22.22,7.408,1.507
"Hospitalizations","Montgomery","2000-2002","Total",,"Total",,32.41,10.805,152,30.73,10.244,0.139
"Hospitalizations","Montgomery","2000-2019","Total",,"Total",,192.63,9.632,946,190.68,9.534,0.130
"Hospitalizations","Montgomery","2001-2003","Total",,"Total",,38.65,12.885,179,36.23,12.077,0.163
"Hospitalizations","Montgomery","2002-2004","Total",,"Total",,37.67,12.558,178,36.03,12.010,0.162
"Hospitalizations","Montgomery","2003-2005","Total",,"Total",,40.86,13.619,197,39.82,13.274,0.180
"Hospitalizations","Montgomery","2004-2006","Total",,"Total",,36.97,12.323,184,37.12,12.375,0.168
"Hospitalizations","Montgomery","2005-2007","Total",,"Total",,35.95,11.983,179,36.03,12.011,0.163
"Hospitalizations","Montgomery","2006-2008","Total",,"Total",,35.11,11.702,174,34.92,11.641,0.159
"Hospitalizations","Montgomery","2007-2009","Total",,"Total",,32.56,10.852,159,31.85,10.618,0.145
"Hospitalizations","Montgomery","2008-2010","Total",,"Total",,31.63,10.543,157,31.35,10.449,0.143
"Hospitalizations","Montgomery","2009-2011","Total",,"Total",,32.33,10.778,161,32.15,10.718,0.147
"Hospitalizations","Montgomery","2010-2012","Total",,"Total",,33.05,11.016,166,33.19,11.063,0.151
"Hospitalizations","Montgomery","2011-2013","Total",,"Total",,33.09,11.028,165,33.11,11.038,0.151
"Hospitalizations","Montgomery","2012-2014","Total",,"Total",,28.34,9.447,144,28.94,9.648,0.131
"Hospitalizations","Montgomery","2013-2015","Total",,"Total",,25.69,8.563,129,25.98,8.659,0.118
"Hospitalizations","Montgomery","2014-2016","Total",,"Total",,19.30,6.432,98,19.81,6.603,0.089
"Hospitalizations","Montgomery","2015-2017","Total",,"Total",,16.13,5.378,79,16.02,5.342,0.072
"Hospitalizations","Montgomery","2016-2018","Total",,"Total",,12.79,4.264,61,12.39,4.129,0.056
"Hospitalizations","Montgomery","2017-2019","Total",,"Total",,12.88,4.294,59,11.98,3.992,0.054
"Hospitalizations","Nassau","2000-2002","Total",,"Total",,40.00,13.333,5397,40.34,13.448,4.924
"Hospitalizations","Nassau","2000-2019","Total",,"Total",,257.41,12.870,35089,261.33,13.066,4.803
"Hospitalizations","Nassau","2001-2003","Total",,"Total",,42.79,14.263,5779,43.17,14.388,5.278
"Hospitalizations","Nassau","2002-2004","Total",,"Total",,44.37,14.790,6029,45.02,15.008,5.501
"Hospitalizations","Nassau","2003-2005","Total",,"Total",,45.42,15.140,6176,46.20,15.401,5.635
"Hospitalizations","Nassau","2004-2006","Total",,"Total",,43.46,14.488,5915,44.42,14.805,5.397
"Hospitalizations","Nassau","2005-2007","Total",,"Total",,42.21,14.069,5726,43.17,14.390,5.229
"Hospitalizations","Nassau","2006-2008","Total",,"Total",,41.44,13.815,5637,42.57,14.192,5.143
"Hospitalizations","Nassau","2007-2009","Total",,"Total",,42.57,14.190,5785,43.61,14.538,5.278
"Hospitalizations","Nassau","2008-2010","Total",,"Total",,43.18,14.392,5912,44.35,14.784,5.394
"Hospitalizations","Nassau","2009-2011","Total",,"Total",,44.12,14.708,6088,45.43,15.144,5.560
"Hospitalizations","Nassau","2010-2012","Total",,"Total",,43.43,14.475,6041,44.89,14.962,5.512
"Hospitalizations","Nassau","2011-2013","Total",,"Total",,42.34,14.112,5888,43.64,14.545,5.372
"Hospitalizations","Nassau","2012-2014","Total",,"Total",,40.37,13.458,5603,41.44,13.812,5.112
"Hospitalizations","Nassau","2013-2015","Total",,"Total",,37.34,12.447,5181,38.27,12.756,4.732
"Hospitalizations","Nassau","2014-2016","Total",,"Total",,33.49,11.163,4564,33.68,11.226,4.164
"Hospitalizations","Nassau","2015-2017","Total",,"Total",,28.80,9.600,3867,28.52,9.506,3.528
"Hospitalizations","Nassau","2016-2018","Total",,"Total",,26.66,8.885,3503,25.82,8.605,3.196
"Hospitalizations","Nassau","2017-2019","Total",,"Total",,25.45,8.483,3396,25.02,8.340,3.101
"Hospitalizations","New York County","2000-2002","Total",,"Total",,104.34,34.780,14155,91.29,30.430,12.915
"Hospitalizations","New York County","2000-2019","Total",,"Total",,511.72,25.586,71898,450.40,22.520,9.842
"Hospitalizations","New York County","2001-2003","Total",,"Total",,105.36,35.120,14327,91.97,30.657,13.084
"Hospitalizations","New York County","2002-2004","Total",,"Total",,104.20,34.733,14239,91.13,30.377,12.992
"Hospitalizations","New York County","2003-2005","Total",,"Total",,100.39,33.464,13730,87.53,29.178,12.527
"Hospitalizations","New York County","2004-2006","Total",,"Total",,94.07,31.356,12989,82.53,27.509,11.851
"Hospitalizations","New York County","2005-2007","Total",,"Total",,89.25,29.748,12409,78.65,26.217,11.332
"Hospitalizations","New York County","2006-2008","Total",,"Total",,89.08,29.693,12571,79.45,26.484,11.470
"Hospitalizations","New York County","2007-2009","Total",,"Total",,87.71,29.235,12482,78.80,26.268,11.389
"Hospitalizations","New York County","2008-2010","Total",,"Total",,85.13,28.377,12240,77.16,25.719,11.168
"Hospitalizations","New York County","2009-2011","Total",,"Total",,80.22,26.740,11600,72.80,24.265,10.594
"Hospitalizations","New York County","2010-2012","Total",,"Total",,75.11,25.036,10960,68.20,22.734,10.000
"Hospitalizations","New York County","2011-2013","Total",,"Total",,71.93,23.976,10582,65.33,21.775,9.655
"Hospitalizations","New York County","2012-2014","Total",,"Total",,69.93,23.308,10300,63.29,21.098,9.398
"Hospitalizations","New York County","2013-2015","Total",,"Total",,63.88,21.292,9377,57.48,19.159,8.563
"Hospitalizations","New York County","2014-2016","Total",,"Total",,55.20,18.400,7862,48.11,16.038,7.173
"Hospitalizations","New York County","2015-2017","Total",,"Total",,45.71,15.235,6293,38.51,12.837,5.742
"Hospitalizations","New York County","2016-2018","Total",,"Total",,40.14,13.379,5304,32.51,10.835,4.839
"Hospitalizations","New York County","2017-2019","Total",,"Total",,37.34,12.446,4980,30.56,10.187,4.548
"Hospitalizations","Niagara","2000-2002","Total",,"Total",,28.99,9.664,633,28.93,9.645,0.578
"Hospitalizations","Niagara","2000-2019","Total",,"Total",,179.88,8.994,3845,178.79,8.940,0.526
"Hospitalizations","Niagara","2001-2003","Total",,"Total",,29.05,9.682,631,28.91,9.637,0.576
"Hospitalizations","Niagara","2002-2004","Total",,"Total",,30.30,10.098,661,30.32,10.108,0.603
"Hospitalizations","Niagara","2003-2005","Total",,"Total",,33.34,11.114,730,33.56,11.186,0.666
"Hospitalizations","Niagara","2004-2006","Total",,"Total",,36.23,12.076,794,36.61,12.202,0.724
"Hospitalizations","Niagara","2005-2007","Total",,"Total",,37.79,12.597,826,38.20,12.732,0.754
"Hospitalizations","Niagara","2006-2008","Total",,"Total",,36.52,12.173,806,37.33,12.443,0.735
"Hospitalizations","Niagara","2007-2009","Total",,"Total",,36.00,12.001,797,36.92,12.306,0.727
"Hospitalizations","Niagara","2008-2010","Total",,"Total",,33.43,11.144,744,34.43,11.476,0.679
"Hospitalizations","Niagara","2009-2011","Total",,"Total",,30.67,10.223,675,31.24,10.413,0.616
"Hospitalizations","Niagara","2010-2012","Total",,"Total",,26.92,8.974,585,27.13,9.043,0.534
"Hospitalizations","Niagara","2011-2013","Total",,"Total",,25.74,8.579,555,25.83,8.611,0.506
"Hospitalizations","Niagara","2012-2014","Total",,"Total",,23.66,7.888,498,23.27,7.756,0.454
"Hospitalizations","Niagara","2013-2015","Total",,"Total",,20.10,6.700,418,19.60,6.534,0.382
"Hospitalizations","Niagara","2014-2016","Total",,"Total",,17.64,5.879,349,16.43,5.477,0.318
"Hospitalizations","Niagara","2015-2017","Total",,"Total",,16.74,5.581,322,15.22,5.073,0.294
"Hospitalizations","Niagara","2016-2018","Total",,"Total",,16.67,5.558,310,14.70,4.901,0.283
"Hospitalizations","Niagara","2017-2019","Total",,"Total",,15.41,5.138,286,13.61,4.538,0.261
"Hospitalizations","Oneida","2000-2002","Total",,"Total",,54.95,18.315,1313,55.99,18.665,1.198
"Hospitalizations","Oneida","2000-2019","Total",,"Total",,259.34,12.967,6298,270.13,13.506,0.862
"Hospitalizations","Oneida","2001-2003","Total",,"Total",,55.08,18.360,1336,57.05,19.016,1.220
"Hospitalizations","Oneida","2002-2004","Total",,"Total",,55.90,18.633,1367,58.34,19.446,1.247
"Hospitalizations","Oneida","2003-2005","Total",,"Total",,52.11,17.371,1283,54.74,18.246,1.171
"Hospitalizations","Oneida","2004-2006","Total",,"Total",,48.38,16.128,1197,51.07,17.023,1.092
"Hospitalizations","Oneida","2005-2007","Total",,"Total",,44.36,14.788,1097,46.81,15.605,1.002
"Hospitalizations","Oneida","2006-2008","Total",,"Total",,45.20,15.066,1114,47.53,15.842,1.016
"Hospitalizations","Oneida","2007-2009","Total",,"Total",,46.45,15.484,1144,48.78,16.259,1.044
"Hospitalizations","Oneida","2008-2010","Total",,"Total",,47.76,15.918,1173,50.00,16.665,1.070
"Hospitalizations","Oneida","2009-2011","Total",,"Total",,45.24,15.080,1122,47.84,15.947,1.025
"Hospitalizations","Oneida","2010-2012","Total",,"Total",,40.76,13.588,1023,43.67,14.557,0.933
"Hospitalizations","Oneida","2011-2013","Total",,"Total",,37.15,12.384,935,40.00,13.332,0.853
"Hospitalizations","Oneida","2012-2014","Total",,"Total",,34.45,11.482,841,36.06,12.019,0.767
"Hospitalizations","Oneida","2013-2015","Total",,"Total",,30.14,10.046,726,31.24,10.413,0.663
"Hospitalizations","Oneida","2014-2016","Total",,"Total",,24.73,8.245,578,24.98,8.326,0.527
"Hospitalizations","Oneida","2015-2017","Total",,"Total",,18.55,6.182,421,18.26,6.087,0.384
"Hospitalizations","Oneida","2016-2018","Total",,"Total",,15.53,5.177,323,14.05,4.682,0.295
"Hospitalizations","Oneida","2017-2019","Total",,"Total",,14.33,4.778,293,12.77,4.258,0.268
"Hospitalizations","Onondaga","2000-2002","Total",,"Total",,26.22,8.739,1195,26.05,8.684,1.090
"Hospitalizations","Onondaga","2000-2019","Total",,"Total",,153.82,7.691,7004,151.23,7.562,0.959
"Hospitalizations","Onondaga","2001-2003","Total",,"Total",,24.38,8.126,1111,24.17,8.056,1.015
"Hospitalizations","Onondaga","2002-2004","Total",,"Total",,24.65,8.217,1126,24.45,8.148,1.027
"Hospitalizations","Onondaga","2003-2005","Total",,"Total",,25.80,8.600,1182,25.63,8.545,1.078
"Hospitalizations","Onondaga","2004-2006","Total",,"Total",,26.50,8.833,1214,26.33,8.776,1.108
"Hospitalizations","Onondaga","2005-2007","Total",,"Total",,25.39,8.464,1164,25.25,8.416,1.063
"Hospitalizations","Onondaga","2006-2008","Total",,"Total",,24.20,8.066,1100,23.81,7.938,1.004
"Hospitalizations","Onondaga","2007-2009","Total",,"Total",,24.13,8.043,1100,23.73,7.911,1.004
"Hospitalizations","Onondaga","2008-2010","Total",,"Total",,25.12,8.372,1148,24.66,8.220,1.047
"Hospitalizations","Onondaga","2009-2011","Total",,"Total",,25.09,8.362,1161,24.86,8.288,1.060
"Hospitalizations","Onondaga","2010-2012","Total",,"Total",,23.01,7.670,1075,23.00,7.667,0.981
"Hospitalizations","Onondaga","2011-2013","Total",,"Total",,22.22,7.408,1046,22.37,7.457,0.954
"Hospitalizations","Onondaga","2012-2014","Total",,"Total",,21.81,7.271,1024,21.90,7.301,0.934
"Hospitalizations","Onondaga","2013-2015","Total",,"Total",,21.03,7.008,985,21.08,7.027,0.900
"Hospitalizations","Onondaga","2014-2016","Total",,"Total",,18.40,6.135,844,18.12,6.039,0.770
"Hospitalizations","Onondaga","2015-2017","Total",,"Total",,17.29,5.765,762,16.42,5.473,0.695
"Hospitalizations","Onondaga","2016-2018","Total",,"Total",,18.05,6.016,754,16.30,5.434,0.688
"Hospitalizations","Onondaga","2017-2019","Total",,"Total",,20.04,6.679,829,17.97,5.990,0.757
"Hospitalizations","Ontario","2000-2002","Total",,"Total",,20.94,6.981,216,21.41,7.136,0.197
"Hospitalizations","Ontario","2000-2019","Total",,"Total",,105.02,5.251,1137,106.88,5.344,0.156
"Hospitalizations","Ontario","2001-2003","Total",,"Total",,22.61,7.536,235,23.10,7.700,0.215
"Hospitalizations","Ontario","2002-2004","Total",,"Total",,22.91,7.637,241,23.49,7.830,0.220
"Hospitalizations","Ontario","2003-2005","Total",,"Total",,24.50,8.168,260,25.14,8.380,0.237
"Hospitalizations","Ontario","2004-2006","Total",,"Total",,21.86,7.286,235,22.58,7.525,0.214
"Hospitalizations","Ontario","2005-2007","Total",,"Total",,21.13,7.044,224,21.39,7.131,0.205
"Hospitalizations","Ontario","2006-2008","Total",,"Total",,19.46,6.486,206,19.55,6.516,0.188
"Hospitalizations","Ontario","2007-2009","Total",,"Total",,21.40,7.132,228,21.46,7.153,0.208
"Hospitalizations","Ontario","2008-2010","Total",,"Total",,18.49,6.164,208,19.40,6.466,0.190
"Hospitalizations","Ontario","2009-2011","Total",,"Total",,16.96,5.652,193,17.87,5.957,0.176
"Hospitalizations","Ontario","2010-2012","Total",,"Total",,12.08,4.026,142,13.09,4.364,0.130
"Hospitalizations","Ontario","2011-2013","Total",,"Total",,10.48,3.492,120,11.03,3.678,0.109
"Hospitalizations","Ontario","2012-2014","Total",,"Total",,10.71,3.570,120,11.01,3.670,0.109
"Hospitalizations","Ontario","2013-2015","Total",,"Total",,10.27,3.425,117,10.71,3.571,0.107
"Hospitalizations","Ontario","2014-2016","Total",,"Total",,10.64,3.548,116,10.62,3.538,0.106
"Hospitalizations","Ontario","2015-2017","Total",,"Total",,8.42,2.806,89,8.14,2.713,0.081
"Hospitalizations","Ontario","2016-2018","Total",,"Total",,8.92,2.973,88,8.04,2.679,0.080
"Hospitalizations","Ontario","2017-2019","Total",,"Total",,7.54,2.513,78,7.11,2.370,0.071
"Hospitalizations","Orange","2000-2002","Total",,"Total",,62.33,20.777,2149,61.78,20.593,1.961
"Hospitalizations","Orange","2000-2019","Total",,"Total",,282.31,14.116,10473,283.89,14.195,1.434
"Hospitalizations","Orange","2001-2003","Total",,"Total",,62.99,20.996,2200,62.30,20.767,2.009
"Hospitalizations","Orange","2002-2004","Total",,"Total",,59.19,19.728,2101,58.65,19.551,1.917
"Hospitalizations","Orange","2003-2005","Total",,"Total",,54.08,18.026,1943,53.66,17.888,1.773
"Hospitalizations","Orange","2004-2006","Total",,"Total",,48.19,16.062,1750,47.97,15.991,1.597
"Hospitalizations","Orange","2005-2007","Total",,"Total",,44.77,14.924,1645,44.87,14.956,1.502
"Hospitalizations","Orange","2006-2008","Total",,"Total",,42.28,14.094,1569,42.58,14.192,1.432
"Hospitalizations","Orange","2007-2009","Total",,"Total",,41.48,13.826,1554,41.97,13.991,1.418
"Hospitalizations","Orange","2008-2010","Total",,"Total",,40.82,13.608,1533,41.22,13.740,1.399
"Hospitalizations","Orange","2009-2011","Total",,"Total",,43.34,14.447,1632,43.73,14.576,1.490
"Hospitalizations","Orange","2010-2012","Total",,"Total",,40.65,13.551,1536,41.10,13.699,1.401
"Hospitalizations","Orange","2011-2013","Total",,"Total",,39.10,13.033,1484,39.68,13.225,1.354
"Hospitalizations","Orange","2012-2014","Total",,"Total",,37.80,12.599,1441,38.50,12.833,1.315
"Hospitalizations","Orange","2013-2015","Total",,"Total",,39.30,13.099,1514,40.37,13.458,1.383
"Hospitalizations","Orange","2014-2016","Total",,"Total",,36.74,12.248,1427,37.94,12.646,1.302
"Hospitalizations","Orange","2015-2017","Total",,"Total",,29.45,9.815,1148,30.39,10.129,1.047
"Hospitalizations","Orange","2016-2018","Total",,"Total",,23.81,7.937,909,23.93,7.976,0.829
"Hospitalizations","Orange","2017-2019","Total",,"Total",,22.32,7.440,850,22.24,7.412,0.776
"Hospitalizations","Orleans","2000-2002","Total",,"Total",,31.49,10.498,137,31.20,10.400,0.125
"Hospitalizations","Orleans","2000-2019","Total",,"Total",,134.11,6.705,597,140.14,7.007,0.082
"Hospitalizations","Orleans","2001-2003","Total",,"Total",,26.06,8.685,114,26.08,8.692,0.104
"Hospitalizations","Orleans","2002-2004","Total",,"Total",,26.08,8.693,115,26.35,8.783,0.105
"Hospitalizations","Orleans","2003-2005","Total",,"Total",,26.02,8.672,117,26.85,8.948,0.107
"Hospitalizations","Orleans","2004-2006","Total",,"Total",,26.69,8.897,121,27.80,9.267,0.110
"Hospitalizations","Orleans","2005-2007","Total",,"Total",,25.71,8.571,117,26.95,8.984,0.107
"Hospitalizations","Orleans","2006-2008","Total",,"Total",,24.99,8.331,115,26.54,8.845,0.105
"Hospitalizations","Orleans","2007-2009","Total",,"Total",,23.96,7.986,110,25.47,8.490,0.100
"Hospitalizations","Orleans","2008-2010","Total",,"Total",,22.84,7.613,104,24.17,8.057,0.095
"Hospitalizations","Orleans","2009-2011","Total",,"Total",,20.41,6.803,89,20.78,6.927,0.081
"Hospitalizations","Orleans","2010-2012","Total",,"Total",,17.61,5.869,78,18.30,6.099,0.071
"Hospitalizations","Orleans","2011-2013","Total",,"Total",,18.61,6.203,84,19.80,6.600,0.077
"Hospitalizations","Orleans","2012-2014","Total",,"Total",,18.55,6.184,86,20.40,6.799,0.078
"Hospitalizations","Orleans","2013-2015","Total",,"Total",,18.85,6.284,86,20.55,6.849,0.079
"Hospitalizations","Orleans","2014-2016","Total",,"Total",,13.10,4.366,55,13.24,4.415,0.050
"Hospitalizations","Orleans","2015-2017","Total",,"Total",,9.52,3.175,39,9.47,3.158,0.036
"Hospitalizations","Orleans","2016-2018","Total",,"Total",,6.67,2.223,25,6.11,2.038,0.023
"Hospitalizations","Orleans","2017-2019","Total",,"Total",,5.72,1.908,21,5.17,1.724,0.019
"Hospitalizations","Oswego","2000-2002","Total",,"Total",,30.03,10.009,358,29.25,9.748,0.327
"Hospitalizations","Oswego","2000-2019","Total",,"Total",,145.60,7.280,1695,139.83,6.992,0.232
"Hospitalizations","Oswego","2001-2003","Total",,"Total",,31.99,10.665,380,30.99,10.329,0.347
"Hospitalizations","Oswego","2002-2004","Total",,"Total",,30.84,10.281,368,29.92,9.974,0.336
"Hospitalizations","Oswego","2003-2005","Total",,"Total",,30.52,10.173,364,29.59,9.862,0.332
"Hospitalizations","Oswego","2004-2006","Total",,"Total",,27.35,9.118,323,26.31,8.769,0.295
"Hospitalizations","Oswego","2005-2007","Total",,"Total",,25.34,8.446,298,24.35,8.115,0.272
"Hospitalizations","Oswego","2006-2008","Total",,"Total",,24.56,8.187,288,23.55,7.849,0.263
"Hospitalizations","Oswego","2007-2009","Total",,"Total",,25.95,8.650,301,24.63,8.210,0.275
"Hospitalizations","Oswego","2008-2010","Total",,"Total",,26.45,8.818,308,25.21,8.402,0.281
"Hospitalizations","Oswego","2009-2011","Total",,"Total",,24.33,8.110,285,23.35,7.783,0.260
"Hospitalizations","Oswego","2010-2012","Total",,"Total",,20.38,6.794,244,20.02,6.674,0.223
"Hospitalizations","Oswego","2011-2013","Total",,"Total",,16.70,5.566,198,16.29,5.430,0.181
"Hospitalizations","Oswego","2012-2014","Total",,"Total",,15.54,5.180,183,15.11,5.038,0.167
"Hospitalizations","Oswego","2013-2015","Total",,"Total",,14.40,4.801,172,14.27,4.758,0.157
"Hospitalizations","Oswego","2014-2016","Total",,"Total",,12.81,4.270,150,12.53,4.176,0.137
"Hospitalizations","Oswego","2015-2017","Total",,"Total",,10.47,3.490,121,10.17,3.389,0.110
"Hospitalizations","Oswego","2016-2018","Total",,"Total",,10.45,3.485,111,9.38,3.128,0.101
"Hospitalizations","Oswego","2017-2019","Total",,"Total",,12.33,4.109,127,10.79,3.597,0.116
"Hospitalizations","Otsego","2000-2002","Total",,"Total",,39.44,13.146,224,36.15,12.051,0.204
"Hospitalizations","Otsego","2000-2019","Total",,"Total",,191.26,9.563,1110,179.96,8.998,0.152
"Hospitalizations","Otsego","2001-2003","Total",,"Total",,44.75,14.918,251,40.36,13.452,0.229
"Hospitalizations","Otsego","2002-2004","Total",,"Total",,44.63,14.876,260,41.58,13.860,0.237
"Hospitalizations","Otsego","2003-2005","Total",,"Total",,44.07,14.689,259,41.20,13.735,0.236
